id,popularity,vote_count,genre_ids,title,vote_average,datetime
283366,73.705,7335,"[12, 18, 14, 10751]",Miss Peregrine's Home for Peculiar Children,6.7,2016-09-28
535292,73.683,916,"[28, 80, 18]",21 Bridges,6.8,2019-10-24
271110,73.65,16868,"[28, 12, 878]",Captain America: Civil War,7.4,2016-04-27
584044,73.631,11,"[18, 14, 36]",The Viking War,4.8,2019-10-15
506574,73.581,894,"[12, 14, 10402, 10751, 10770]",Descendants 3,7.9,2019-08-09
550440,73.418,91,"[35, 14, 9648, 10751]",Timmy Failure: Mistakes Were Made,6.2,2020-01-25
695596,73.40100000000001,46,"[28, 35]",Malibu Rescue: The Next Wave,6.8,2020-08-04
597156,73.01100000000001,9,[18],The Boys in the Band,7.4,2020-09-30
484641,72.947,1312,"[28, 53]",Anna,6.7,2019-06-19
664168,72.733,8,"[35, 27]",Fat Ass Zombies,5.1,2020-02-18
268896,72.66199999999999,3261,"[28, 12, 14, 878]",Pacific Rim: Uprising,6.1,2018-03-21
618355,72.358,462,"[28, 16, 878]",Superman: Red Son,7.4,2020-02-24
348893,72.34,751,"[28, 18]",Boyka: Undisputed IV,6.7,2016-08-01
424783,71.844,3971,"[28, 12, 878]",Bumblebee,6.6,2018-12-15
576393,71.667,50,"[10749, 35]",Fall in Love at First Kiss,6.4,2019-02-14
726940,71.58,18,"[16, 10751]",Octonauts and the Caves of Sac Actun,6.5,2020-08-14
559969,71.485,2784,"[28, 80, 18, 53]",El Camino: A Breaking Bad Movie,6.9,2019-10-11
486589,71.332,425,"[16, 10749, 10751]",Red Shoes and the Seven Dwarfs,7.3,2019-07-25
567006,71.295,22,"[16, 28, 14, 12]",Kabaneri of the Iron Fortress: The Battle of Unato,7.2,2019-05-10
263115,71.14699999999999,14817,"[28, 18, 878]",Logan,7.8,2017-02-28
626393,70.90899999999999,156,"[28, 10751]",The Sleepover,6.7,2020-08-21
599521,70.734,262,"[10402, 10749, 10770]",Z-O-M-B-I-E-S 2,8.4,2020-02-14
337339,70.368,7645,"[28, 80, 53]",The Fate of the Furious,6.9,2017-04-12
697064,70.252,0,[28],Beckman,0.0,2020-09-10
570503,70.206,95,"[18, 10749]",Tune in for Love,8.0,2019-08-28
574982,69.822,126,"[28, 878, 53]",The Blackout,6.4,2019-11-21
551238,69.699,34,"[28, 12, 27]",D-Railed,4.6,2018-12-01
520725,69.52,164,"[12, 35, 14]",The Lost Prince,5.8,2020-02-12
743601,69.513,6,"[99, 9648]",American Murder: The Family Next Door,6.8,2020-09-30
723895,69.42699999999999,23,"[16, 10751]",Dragons: Rescue Riders: Secrets of the Songwing,7.6,2020-07-24
188161,69.108,2784,"[35, 37]",A Million Ways to Die in the West,5.9,2014-05-22
610461,68.971,257,[35],"Veinteañera, divorciada y fantástica",8.2,2020-02-14
363088,68.971,8918,"[28, 12, 35, 878]",Ant-Man and the Wasp,7.0,2018-07-04
560704,68.87,40,"[878, 53]",Beyond White Space,4.0,2018-12-14
442249,68.577,2584,"[28, 878, 53, 27]",The First Purge,5.9,2018-07-04
140300,68.266,3764,"[28, 12, 16, 35, 10751]",Kung Fu Panda 3,6.8,2016-01-23
